,Year,2000,,,,2001,,,,2002,,,,2003,,,,2004,,,,2005,,,,2006,,,,2007,,,,2008,,,,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,
9,Edison Park,0,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,0,,0,,,,5,232.9,,,,,,,,,,,,,,,6,282.6,,,5,235.5,7,346.2,13,612.3
10,Norwood Park,,,12,172.8,,,10,145.1,5,73.1,21,307.2,,,11,162.1,,,15,222.9,,,15,224.7,5,75.5,21,317,,,27,411,6,92.1,15,230.2,,,20,309.5,13,203,12,187.2,9,140.5,27,421.2,14,218.6,24,374.4,13,203,31,483.6,10,156.2,28,436.8
11,Jefferson Park,,,5,92.2,12,216.8,8,148.3,11,200.3,18,335.4,,,16,299.7,,,14,263.6,9,167.7,16,302.8,7,131.5,21,399.5,9,170.4,19,363.4,5,95.4,37,711.4,7,134.6,20,386.5,12,232.7,20,388.7,14,271.5,35,680.1,13,252.1,46,893.9,9,174.5,32,621.8,12,232.7,44,855
12,Forest Glen,,,,,,,,,,,9,281.2,,,7,220.3,,,12,380.5,,,13,415.2,6,198.4,9,289.6,6,200.1,,,,,11,359.4,6,203.5,6,197.5,,,10,331.7,8,273.6,22,729.7,7,239.4,11,364.8,6,205.2,20,663.3,,,13,431.2
13,North Park,5,124.8,11,265.4,,,7,171.4,9,228.8,13,322.9,6,153.9,15,378.1,8,207.2,14,358.2,8,209.2,13,337.8,5,132,15,395.8,7,186.6,14,375.2,,,15,408.5,,,12,332.1,,,22,619,10,274.5,15,422.1,9,247,24,675.3,13,356.8,30,844.1,13,356.8,19,534.6
14,Albany Park,81,612.5,88,651.9,122,891.7,76,567.8,166,1174.1,108,813.9,133,911.3,105,798.2,105,697.6,88,675,125,806,73,564.9,139,870.7,83,648,168,1023,67,527.9,172,1019,109,866.7,155,894.1,107,858.7,204,1146.6,91,737.1,244,1371.4,137,1109.7,525,2950.8,162,1312.2,228,1281.5,145,1174.5,222,1247.8,149,1206.9
15,Portage Park,18,110.3,38,263.2,32,199.2,65,452.6,39,246.7,56,391.9,33,212.2,68,478.5,13,85,57,403.2,25,166.3,77,547.6,29,196.2,98,700.7,28,192.8,127,912.9,25,175.2,90,650.5,20,142.8,106,770.3,37,269,126,920.6,48,349,128,935.3,46,334.5,159,1161.8,53,385.4,158,1154.5,50,363.6,162,1183.7
16,Irving Park,9,59.1,81,585.7,10,66.2,88,642.3,22,146.6,105,773.8,18,120.8,96,714.3,16,108.2,86,646.1,20,136.3,103,781.5,30,205.9,92,705,19,131.4,89,688.9,30,209.1,106,828.8,19,133.4,112,884.7,33,233.5,118,941.8,50,353.8,115,917.9,36,254.7,145,1157.3,46,325.5,122,973.7,65,459.9,142,1133.4
17,Dunning,25,165.1,16,189.6,17,113.6,19,226.1,55,371.7,21,250.9,32,218.8,23,275.8,41,283.7,26,313.1,40,280.1,22,266,42,297.7,35,425,29,208.1,46,560.8,26,188.9,45,550.9,31,228.1,43,528.6,55,409.9,41,506.1,49,365.2,47,580.2,63,469.5,62,765.3,54,402.4,53,654.2,80,596.2,54,666.6
18,Montclaire,,,16,597,,,9,335.1,10,110.9,15,557.2,7,78.1,18,667.4,5,56.2,28,1035.9,,,29,1070.5,8,91,24,884,14,160.4,30,1102.5,10,115.3,17,623.6,13,150.9,29,1061.5,9,105.2,30,1095.7,15,175.3,25,913.1,28,327.3,40,1460.9,21,245.5,34,1241.8,30,350.7,53,1935.7
19,Belmont Cragin,,,156,855.5,,,167,918.3,6,204.4,177,976.1,5,170.9,193,1067.2,,,190,1053.6,9,309.7,255,1418.1,5,172.7,269,1500.2,,,218,1219.2,,,240,1346,,,242,1361.2,,,257,1449.7,9,315,295,1664,12,420,308,1737.4,13,455,307,1731.7,9,315,344,1940.4
20,Hermosa,35,178.7,91,1404.8,42,214.9,60,935.6,60,307.6,87,1370.5,52,267.2,78,1241.6,37,190.5,104,1672.8,61,314.8,89,1446.7,66,341.3,87,1429.3,57,295.4,83,1378.3,41,213,77,1292.8,54,281.1,108,1833.3,72,375.6,89,1527.6,92,480,116,1991.1,114,594.7,139,2385.9,105,547.8,103,1767.9,119,620.8,137,2351.5
21,Avondale,6,87.5,66,648.1,21,309.6,73,722.6,38,566.4,84,838.1,23,346.6,102,1025.8,15,228.6,112,1135.6,25,385.2,104,1063,18,280.5,117,1205.7,24,378.4,85,883.2,13,207.3,88,922,19,306.6,112,1183.4,20,326.6,101,1076.3,26,424.6,106,1129.6,24,391.9,95,1012.4,37,604.2,121,1289.4,38,620.5,136,1449.3
22,Logan Square,10,85.9,193,888.5,21,181.6,211,974.3,35,304.7,209,968.1,34,298.1,243,1129.1,21,185.4,217,1011.5,25,222.3,243,1136.2,30,268.7,260,1219.6,33,297.7,225,1058.7,28,254.4,225,1062.1,24,219.7,213,1008.7,35,322.7,250,1187.6,33,304.3,238,1130.6,41,378,261,1239.9,47,433.3,225,1068.9,69,636.2,261,1239.9
23,Humboldt park,43,180.3,508,3154.5,53,224,528,3335.4,81,345.1,497,3194.9,74,317.8,538,3520.5,44,190.5,510,3398.2,96,419.1,562,3814.3,89,391.7,608,4204.7,61,270.7,614,4328.2,61,273,603,4334.4,49,221.1,586,4296.8,67,304.9,562,4205.3,74,336.8,639,4781.5,111,505.2,620,4639.3,99,450.6,547,4093.1,127,578,633,4736.6
24,West Town,105,700.6,248,1047.6,172,1166.3,218,912.2,304,2095.5,226,936.9,167,1170.5,252,1035,148,1055.1,275,1119.1,205,1486.9,267,1076.7,182,1343.6,281,1123,161,1210,241,954.6,117,895.5,247,969.7,135,1052.5,260,1011.8,173,1374.5,220,848.7,234,1859.2,328,1265.3,234,1859.2,324,1249.9,200,1589.1,306,1180.5,233,1851.3,291,1122.6
25,Austin,61,221.7,1136,4040.3,91,330.9,1144,4159.2,115,418.4,1172,4358,110,400.5,1270,4832.4,82,298.7,1349,5255.4,110,401,1374,5483.5,103,375.7,1509,6173,98,357.7,1413,5928.8,78,284.8,1436,6184.1,78,285,1474,6519.5,106,387.6,1413,6423.6,175,639.9,1492,6782.7,153,559.4,1548,7037.3,157,574,1441,6550.9,191,698.4,1298,5900.8
26,West Garfield Park,302,1306.1,270,5056.2,450,1983.1,320,6138.5,709,3184.8,250,4915.5,503,2304,283,5706.8,370,1728.8,276,5711.9,494,2355.5,339,7203.6,586,2852.7,351,7665.4,399,1983.9,325,7300.1,390,1981.5,371,8578,314,1631,351,8361.1,421,2236.7,331,8130.7,590,3134.6,385,9457.1,626,3325.9,406,9973,514,2730.8,377,9260.6,529,2810.5,359,8818.5
27,East Garfield Park,69,1564.6,266,5487.9,136,3145.2,287,5909,173,4082.1,262,5383.2,113,2720.9,303,6212.8,80,1967.1,296,6056.9,141,3541.8,347,7086,128,3286.3,394,8031,80,2100.3,318,6468.7,93,2497.3,323,6557,78,2144,309,6260.1,94,2646.4,341,6894.5,153,4307.4,402,8127.8,143,4025.9,400,8087.3,129,3631.8,388,7844.7,120,3378.4,317,6409.2
28,Near West Side,51,1220.4,340,2497.1,104,2482.7,359,2552.3,181,4310.6,293,2018.3,102,2424,314,2097.9,73,1730.7,340,2205.4,130,3074.7,327,2060.8,132,3114.7,332,2034.6,89,2095.1,305,1818.9,107,2513.5,335,1945.6,119,2788.8,384,2173.3,164,3834.5,393,2169,157,3670.8,499,2754,175,4091.7,537,2963.7,158,3694.2,418,2307,153,3577.3,397,2191.1
29,North Lawndale,116,1557.3,550,5401.2,200,2697.2,598,5968.7,264,3576.8,581,5896.1,216,2940,661,6821.5,145,1982.8,563,5910.8,246,3379.1,604,6452.3,244,3367.4,707,7688.1,193,2676.1,642,7108.1,174,2424.1,643,7251.6,182,2547.6,687,7893.8,250,3516.2,634,7425.6,268,3769.3,751,8796,282,3966.2,800,9369.9,252,3544.3,724,8479.7,281,3952.2,736,8620.3
30,South Lawndale,58,179,278,1414.2,78,246.1,326,1687.7,114,367.9,268,1412.5,98,323.7,360,1932.3,68,230,304,1662.3,85,294.6,330,1838.8,87,309.2,383,2175.6,77,280.8,365,2114.6,92,344.4,341,2015.5,87,334.6,408,2461.4,101,399.4,351,2162.1,140,553.7,399,2457.8,135,533.9,415,2556.4,125,494.3,404,2488.6,126,498.3,406,2500.9
31,Lower West Side,23,179.9,118,1142.5,25,199.6,135,1328.5,42,342.5,124,1240.4,35,291.6,145,1474.9,34,289.6,119,1231.2,35,305,117,1231.6,41,365.6,124,1328.5,23,210,127,1385.3,43,402.2,123,1366.4,33,316.4,113,1278.7,47,462.2,135,1556.9,50,491.7,137,1580,58,570.4,157,1810.6,50,491.7,138,1591.5,77,757.3,165,1902.9
32,Loop,,,10,222.8,11,196.2,17,337.3,10,164.2,18,321.9,14,212.9,22,358.1,11,155.8,25,373.4,31,410.8,20,275.9,16,199.2,36,461.5,14,164.4,37,443,23,255.5,50,561.5,16,168.6,46,486.5,34,340.9,55,549.6,38,381,64,639.5,46,461.2,62,619.5,58,581.6,62,619.5,66,661.8,76,759.4
33,Near South Side,16,737.3,94,3743.5,31,1216.2,70,2420.5,46,1571,92,2810.9,22,665.3,82,2244.1,25,678.2,75,1858.7,16,393.5,80,1811.6,26,584.9,78,1626,16,331.7,58,1120.1,18,346,56,1007.4,24,430,64,1077.4,28,469.7,45,711.9,32,536.8,62,980.9,29,486.5,59,933.4,34,570.4,49,775.2,34,570.4,49,775.2
34,Armour Square,,,28,1104.1,11,443.5,30,1175.5,19,757,42,1635.5,16,629.7,27,1044.9,5,194.5,26,1000,11,422.9,21,802.8,12,456.1,15,569.9,,,20,755.3,10,371.5,26,976,7,257.2,34,1268.7,12,436,38,1409.5,12,436,44,1632,14,508.7,47,1743.3,22,799.4,50,1854.6,15,545.1,61,2262.6
35,Douglas,45,777.6,254,3794.4,78,1381,236,3649.3,92,1670,184,2949.2,73,1359.2,183,3043.9,52,993.9,178,3077.5,72,1413.7,185,3329.1,66,1332.3,157,2945.6,58,1204.6,135,2646,41,876.6,124,2543.6,31,683.1,147,3163.3,47,1068.4,137,3099.5,57,1295.7,144,3257.9,79,1795.9,179,4049.8,55,1250.3,141,3190,59,1341.2,175,3959.3
36,Oakland,8,779.7,76,4764.9,29,2837.6,89,5566,21,2064.9,60,3745.3,19,1875.6,66,4109.6,18,1785.7,61,3791.2,23,2290.8,52,3223.8,18,1800,54,3339.5,17,1708.5,68,4197.5,15,1513.6,56,3448.3,13,1318.5,78,4794.1,16,1629.3,69,4230.5,36,3666,70,4291.8,30,3055,81,4966.3,21,2138.5,80,4905,31,3156.8,90,5518.1
37,Fuller Park,9,1456.3,40,5681.8,13,2138.2,45,6521.7,30,5025.1,47,6952.7,13,2214.7,46,6948.6,11,1909.7,42,6481.5,22,3886.9,45,7086.6,18,3237.4,39,6280.2,17,3119.3,34,5601.3,12,2243,49,8263.1,7,1335.9,45,7772,10,1945.5,33,5840.7,16,3112.8,45,7964.6,21,4085.6,56,9911.5,18,3501.9,47,8318.6,13,2529.2,32,5663.7
38,Grand Boulevard,78,1728.3,371,5800.5,104,2331.3,380,6031.7,121,2745,342,5513.5,108,2479.3,338,5534.6,63,1464.1,279,4642.3,74,1740.8,208,3517.1,94,2239.2,282,4847.9,82,1977.8,247,4317.4,69,1685.8,269,4783.1,88,2177.7,298,5390.7,86,2156.5,248,4566.4,126,3159.5,344,6334,125,3134.4,338,6223.5,109,2733.2,301,5542.3,128,3209.6,266,4897.8
39,Kenwood,15,398.6,125,2760,36,969,127,2821,45,1227.5,144,3217.9,54,1492.5,128,2877.1,43,1204.8,133,3007.7,44,1249.6,112,2548.4,43,1238.5,104,2381,45,1314.3,108,2487.9,43,1274.1,127,2943.2,35,1052,112,2611.9,31,945.7,101,2370.3,55,1677.9,137,3215.2,39,1189.7,128,3004,44,1342.3,116,2722.4,62,1891.4,118,2769.3
40,Washington Park,48,1929.3,208,5936.1,80,3261.3,258,7433,90,3722.1,227,6604.6,69,2895.5,231,6786.1,39,1661,245,7270,60,2594,193,5783.6,82,3599.6,267,8083.6,51,2273.7,227,6941.9,47,2128.6,209,6458.6,49,2254.9,214,6681.2,53,2479,221,6973.8,97,4537,217,6847.6,87,4069.2,263,8299.1,98,4583.7,218,6879.1,77,3601.5,229,7226.3
41,Hyde Park,17,193.2,73,853.7,28,324.4,79,936.6,31,366.3,70,841.5,31,373.7,73,890,36,442.9,90,1113.2,29,364.2,75,941.1,40,513.1,68,866,29,380.1,72,930.7,27,361.8,80,1050,14,191.9,54,719.7,27,378.8,62,839.4,32,448.9,62,839.4,34,477,70,947.7,28,392.8,63,853,47,659.4,57,771.7
42,Woodlawn,59,1181.2,326,5163.9,92,1849.6,320,5093.9,146,2947.7,334,5342.3,117,2372.3,346,5561.8,71,1445.7,353,5702.7,104,2126.8,354,5746.8,117,2403.5,374,6102.1,99,2042.5,382,6264.3,92,1906.3,356,5867.8,60,1248.7,348,5764.5,83,1734.9,334,5561.1,133,2780.1,363,6044,122,2550.2,335,5577.8,120,2508.4,301,5011.7,122,2550.2,255,4245.8
43,South Shore,117,1007.1,610,3973.2,183,1609.6,688,4583.3,268,2409.9,618,4213.3,210,1931.4,608,4244,158,1487.1,589,4212.3,205,1975.5,625,4581.8,211,2083.1,627,4715,191,1933,638,4924.4,138,1432.6,592,4693.6,158,1683.5,650,5297,177,1937.2,594,4979.9,214,2342.1,697,5843.4,246,2692.3,638,5348.8,194,2123.2,557,4669.7,212,2320.2,650,5449.4
44,Chatham,75,1169.5,296,3577.5,98,1559.5,276,3422.6,105,1706.2,302,3845.7,120,1991.7,323,4226.1,97,1645.5,321,4319.2,153,2653.5,362,5012.5,128,2270.7,368,5248.1,114,2070.1,378,5558,88,1636.3,339,5143.4,68,1295.7,358,5611.3,97,1894.9,339,5494.3,162,3164.7,362,5867.1,131,2559.1,369,5980.6,144,2813,320,5186.4,139,2715.4,303,4910.9
45,Avalon Park,19,943.4,69,2988.3,29,1469.8,76,3346.5,51,2639.8,73,3269.1,30,1587.3,74,3371.3,19,1027.6,97,4497,35,1935.8,97,4575.5,23,1301.6,106,5091.3,26,1506.4,76,3718.2,34,2019,94,4685.9,22,1339,93,4725.6,34,2122.3,70,3626.9,41,2559.3,98,5077.7,51,3183.5,82,4248.7,37,2309.6,87,4507.8,42,2621.7,84,4352.3
46,South Chicago,70,926.2,315,3504.7,93,1259.5,336,3830.8,142,1969.5,330,3857.8,94,1335.8,339,4066.2,103,1500.8,283,3485.2,132,1973.4,374,4732.4,107,1642.4,353,4592.8,109,1719,382,5114.5,61,989,341,4702.2,76,1267.9,386,5486.9,112,1924.4,314,4605.5,112,1924.4,385,5646.8,124,2130.6,374,5485.5,113,1941.6,319,4678.8,119,2044.7,304,4458.8
47,Burnside,12,1832.1,27,3724.1,11,1718.8,32,4507,15,2396.2,24,3448.3,23,3764.3,31,4552.1,18,3020.1,38,5697.2,18,3092.8,34,5214.7,19,3351,31,4866.6,18,3260.9,47,7544.1,11,2048.4,41,6743.4,6,1147.2,30,5050.5,10,1968.5,50,8635.6,20,3937,49,8462.9,24,4724.4,32,5526.8,14,2755.9,21,3626.9,16,3149.6,29,5008.6
48,Calumet Heights,37,1352.3,90,2843.6,31,1157.1,115,3728.9,42,1601.2,88,2930.4,44,1714.7,105,3592.2,28,1116,97,3413.1,47,1916,103,3730.5,50,2086.8,125,4664.2,43,1838.4,124,4771.1,23,1007.9,120,4763.8,25,1123.1,103,4224.8,32,1475.3,110,4666.9,39,1798.1,105,4454.8,41,1890.3,149,6321.6,36,1659.8,119,5048.8,47,2166.9,74,3139.6
49,Roseland,134,1366,494,4320.1,201,2095.1,486,4335,314,3348.3,474,4314.2,195,2128.4,511,4748.2,185,2068,490,4649.8,193,2210.5,508,4925.3,202,2372.3,535,5302.3,218,2626.8,532,5392.3,144,1781.5,532,5518.1,91,1156.7,517,5490.1,167,2182.7,530,5765.3,246,3215.3,613,6668.1,268,3502.8,569,6189.5,212,2770.9,477,5188.7,181,2365.7,447,4862.4
50,Pullman,20,1185.5,74,3722.3,21,1270.4,78,4008.2,34,2098.8,68,3571.4,19,1198,70,3759.4,16,1030.3,90,4945.1,25,1645.8,89,5005.6,22,1481.5,70,4032.3,22,1515.2,60,3541.9,19,1339.9,66,3995.2,20,1444,70,4347.8,9,666.2,75,4783.2,28,2072.5,58,3699,32,2368.6,77,4910.7,26,1924.5,51,3252.6,21,1554.4,68,4336.7
51,South Deering,28,835.6,106,2819.9,25,759.6,125,3385.7,55,1702.3,111,3062.1,51,1608.3,129,3626.7,28,900,101,2894,39,1278.3,112,3272,31,1036.8,117,3486.3,42,1433.4,94,2858,21,731.7,95,2949.4,24,854.1,122,3868.1,41,1490.9,134,4340.8,43,1563.6,117,3790.1,46,1672.7,130,4211.2,34,1236.4,128,4146.4,61,2218.2,129,4178.8
52,East Side,9,166.6,36,691.6,14,260.8,53,1028.1,15,281.1,53,1038.2,14,264.1,55,1088,10,189.8,58,1158.8,13,248.3,59,1190.5,20,384.4,38,774.6,12,232.1,48,988.5,15,292.1,77,1602.2,11,215.6,56,1177.5,12,236.7,54,1147.5,20,394.5,61,1296.2,17,335.3,84,1785,26,512.8,83,1763.7,26,512.8,74,1572.5
53,West Pullman,85,1214.3,347,4287.1,125,1826.4,352,4445.6,165,2467.1,335,4326.5,130,1990.5,398,5259.7,106,1662.7,386,5222.6,171,2749.6,418,5792.7,182,3001.8,411,5838.1,150,2539.4,447,6512.2,101,1756.5,405,6055.6,79,1412.2,360,5527.4,98,1802.1,362,5712.5,141,2592.9,396,6249,149,2740,380,5996.5,116,2133.1,292,4607.9,111,2041.2,356,5617.8
54,Riverdale,20,1212.1,108,4213.8,28,1758.8,91,3664.9,41,2671,77,3204.3,39,2640.5,123,5292.6,44,3100.8,96,4278.1,37,2716.6,117,5406.7,26,1993.9,105,5038.4,27,2166.9,98,4890.2,11,925.9,67,3480.5,,,72,3902.4,17,1584.3,57,3229.5,23,2143.5,78,4419.3,26,2423.1,137,7762,27,2516.3,122,6912.2,32,2982.3,112,6345.6
55,Hegewisch,,,11,571.1,,,15,785.8,,,16,845.7,,,15,799.6,,,18,968.3,6,308.8,14,760,,,6,328.8,,,12,663.7,,,9,502.2,,,18,1014.1,,,9,511.9,,,23,1308.3,8,433.1,25,1422.1,8,433.1,25,1422.1,5,270.7,25,1422.1
56,Garfield Ridge,13,180.8,51,707.4,26,363.1,48,670.9,36,505.1,67,943.7,26,366.4,77,1092.8,10,141.5,58,829.5,26,369.6,83,1196.3,30,428.4,86,1249.5,17,243.9,83,1215.4,18,259.4,107,1579.3,22,318.5,95,1413.7,25,363.6,64,960.1,36,523.6,69,1035.1,29,421.8,73,1095.1,31,450.8,71,1065.1,36,523.6,101,1515.2
57,Archer Heights,5,163.5,13,477.6,,,9,326.8,8,257.6,18,646.1,,,22,780.4,5,158.7,30,1052.3,9,283.5,31,1075.3,16,500.3,22,754.7,,,31,1051.9,13,400.7,36,1208.1,8,244.9,44,1460.8,8,243.2,32,1051.2,15,455.9,54,1774,8,243.2,67,2201.1,15,455.9,47,1544,17,516.7,64,2102.5
58,Brighton Park,13,108.8,79,770.1,23,193.3,102,994,38,321,89,867,36,305.6,155,1509.5,35,298.6,101,983.4,38,325.7,119,1158.3,29,249.8,151,1469.3,26,225.1,145,1410.5,27,234.9,159,1546.2,33,288.6,159,1545.8,32,281.2,150,1457.9,53,465.8,192,1866.1,50,439.4,164,1593.9,56,492.2,174,1691.1,69,606.4,203,1973
59,McKinley Park,5,126.3,27,742.4,,,36,992.6,9,230.5,33,912.4,9,232.1,33,915.1,5,129.9,40,1112.3,5,130.8,46,1282.8,8,210.9,47,1314.3,10,265.5,40,1121.7,5,133.7,40,1125.2,10,269.4,53,1495.1,19,515.7,47,1329.6,18,488.6,58,1640.7,13,352.9,72,2036.8,17,461.5,54,1527.6,20,542.9,65,1838.8
60,Bridgeport,6,72.1,43,556.1,10,121,48,624.9,11,134.1,36,471.8,18,221.2,43,567.4,10,123.8,60,797.1,12,149.8,59,789.3,12,150.9,59,794.8,26,329.7,70,949.5,22,281.2,61,833.3,18,231.9,70,963,13,168.9,53,734.4,18,233.8,65,900.7,21,272.8,77,1066.9,39,506.6,77,1066.9,23,298.8,77,1066.9
61,New City,89,692,293,2432.9,106,840.6,342,2884.9,213,1723.4,373,3197.1,122,1007.6,396,3449.5,82,691.6,380,3365.2,91,784.1,363,3269.1,131,1153.8,352,3224.6,92,828.6,326,3038.8,71,654.3,362,3434.2,90,849,401,3873.3,105,1014.5,355,3492.4,131,1265.7,380,3738.3,133,1285,365,3590.8,113,1091.8,359,3531.7,137,1323.7,392,3856.4
62,West Elsdon,,,12,342.2,9,241.5,19,532.8,9,237.4,21,579.3,7,181.5,31,841.2,12,306,29,774.6,6,150.5,31,815.1,10,246.7,42,1087.5,14,339.9,47,1198.7,7,167.3,42,1055,14,329.4,53,1311.9,12,278.1,42,1024.6,20,463.5,65,1585.8,19,440.3,59,1439.4,20,463.5,70,1707.7,23,533,63,1537
63,Gage Park,27,265,89,963.3,37,363.6,124,1340.8,55,541.2,118,1274.8,37,364.5,153,1651.4,20,197.3,134,1445.1,48,474.2,150,1616,42,415.4,153,1646.9,47,465.5,158,1699.1,38,376.9,167,1794.3,53,526.4,180,1932.2,43,427.6,163,1748.2,53,527,206,2209.4,57,566.8,211,2263,63,626.5,203,2177.2,58,576.8,217,2327.3
64,Clearing,0,,11,236,,,20,426.3,,,24,508.3,8,160.5,17,357.7,,,20,418.2,,,27,561.1,8,161,33,681.5,10,201.4,30,615.8,13,262.1,43,877.2,20,403.7,35,709.7,6,121.2,48,967.4,21,424.3,54,1088.3,13,262.7,49,987.5,11,222.3,48,967.4,11,222.3,49,987.5
65,West Lawn,11,167,28,430.4,11,163.4,53,802.2,22,320,48,715.6,11,156.7,52,763.6,16,223.3,55,795.8,27,369.4,64,912.6,15,201.3,86,1208.7,15,197.4,87,1205.7,19,245.4,103,1407.5,18,228.3,95,1280.5,37,460.8,91,1209.9,31,386.1,106,1409.4,33,411,113,1502.5,47,585.4,106,1409.4,44,548,134,1781.7
66,Chicago Lawn,100,712,377,2488.8,140,1008.6,434,2905.7,192,1399.6,442,3001.7,163,1202.5,467,3217.8,134,1000.6,465,3251.5,158,1194.3,465,3300.2,211,1614.8,522,3761.3,162,1255.4,503,3680.7,129,1012.5,493,3664.3,133,1057.4,501,3783.1,139,1119.6,573,4397.2,217,1747.9,573,4397.2,243,1957.3,645,4949.7,190,1530.4,519,3982.8,215,1731.8,593,4550.7
67,West Englewood,159,1811.3,559,5439.9,210,2446.4,643,6419.7,329,3921.8,547,5606.8,229,2794.4,673,7087.2,204,2549.7,593,6420.5,254,3253.5,583,6495.1,266,3494.5,587,6735.5,210,2831,627,7415.7,132,1827.2,611,7455.8,127,1806.8,621,7826.1,172,2516.5,629,8195.4,261,3818.6,680,8859.9,234,3423.6,703,9159.6,233,3408.9,596,7765.5,201,2940.7,592,7713.4
68,Englewood,145,1987.4,527,5673.4,205,2878.4,618,6808.4,274,3944.1,640,7219.4,234,3454.9,635,7338.5,166,2515.9,639,7570.2,227,3533.6,612,7437.1,218,3488,650,8108.8,179,2946.5,598,7662.7,128,2169.1,602,7929.4,127,2218,594,8048.8,152,2737.8,595,8300.8,228,4106.6,603,8412.4,247,4448.8,614,8565.8,211,3800.4,542,7561.4,181,3260.1,502,7003.3
