,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
29,North Lawndale,116,200,264,216,145,246,244,193,174,182,250,268,282,252,281
30,South Lawndale,58,78,114,98,68,85,87,77,92,87,101,140,135,125,126
31,Lower West Side,23,25,42,35,34,35,41,23,43,33,47,50,58,50,77
32,Loop,,11,10,14,11,31,16,14,23,16,34,38,46,58,66
33,Near South Side,16,31,46,22,25,16,26,16,18,24,28,32,29,34,34
34,Armour Square,,11,19,16,5,11,12,,10,7,12,12,14,22,15
35,Douglas,45,78,92,73,52,72,66,58,41,31,47,57,79,55,59
36,Oakland,8,29,21,19,18,23,18,17,15,13,16,36,30,21,31
37,Fuller Park,9,13,30,13,11,22,18,17,12,7,10,16,21,18,13
38,Grand Boulevard,78,104,121,108,63,74,94,82,69,88,86,126,125,109,128
39,Kenwood,15,36,45,54,43,44,43,45,43,35,31,55,39,44,62
40,Washington Park,48,80,90,69,39,60,82,51,47,49,53,97,87,98,77
41,Hyde Park,17,28,31,31,36,29,40,29,27,14,27,32,34,28,47
42,Woodlawn,59,92,146,117,71,104,117,99,92,60,83,133,122,120,122
43,South Shore,117,183,268,210,158,205,211,191,138,158,177,214,246,194,212
44,Chatham,75,98,105,120,97,153,128,114,88,68,97,162,131,144,139
45,Avalon Park,19,29,51,30,19,35,23,26,34,22,34,41,51,37,42
46,South Chicago,70,93,142,94,103,132,107,109,61,76,112,112,124,113,119
47,Burnside,12,11,15,23,18,18,19,18,11,6,10,20,24,14,16
48,Calumet Heights,37,31,42,44,28,47,50,43,23,25,32,39,41,36,47
49,Roseland,134,201,314,195,185,193,202,218,144,91,167,246,268,212,181
50,Pullman,20,21,34,19,16,25,22,22,19,20,9,28,32,26,21
51,South Deering,28,25,55,51,28,39,31,42,21,24,41,43,46,34,61
52,East Side,9,14,15,14,10,13,20,12,15,11,12,20,17,26,26
53,West Pullman,85,125,165,130,106,171,182,150,101,79,98,141,149,116,111
54,Riverdale,20,28,41,39,44,37,26,27,11,,17,23,26,27,32
55,Hegewisch,,,,,,6,,,,,,,8,8,5
56,Garfield Ridge,13,26,36,26,10,26,30,17,18,22,25,36,29,31,36
57,Archer Heights,5,,8,,5,9,16,,13,8,8,15,8,15,17
58,Brighton Park,13,23,38,36,35,38,29,26,27,33,32,53,50,56,69
59,McKinley Park,5,,9,9,5,5,8,10,5,10,19,18,13,17,20
60,Bridgeport,6,10,11,18,10,12,12,26,22,18,13,18,21,39,23
61,New City,89,106,213,122,82,91,131,92,71,90,105,131,133,113,137
62,West Elsdon,,9,9,7,12,6,10,14,7,14,12,20,19,20,23
63,Gage Park,27,37,55,37,20,48,42,47,38,53,43,53,57,63,58
64,Clearing,0,,,8,,,8,10,13,20,6,21,13,11,11
65,West Lawn,11,11,22,11,16,27,15,15,19,18,37,31,33,47,44
66,Chicago Lawn,100,140,192,163,134,158,211,162,129,133,139,217,243,190,215
67,West Englewood,159,210,329,229,204,254,266,210,132,127,172,261,234,233,201
68,Englewood,145,205,274,234,166,227,218,179,128,127,152,228,247,211,181
69,Greater Grand Crossing,79,124,195,154,131,181,160,162,131,104,131,174,195,171,164
70,Ashburn,19,39,50,59,63,71,88,85,62,57,78,87,94,85,91
71,Auburn Gresham,116,193,304,224,153,227,252,211,147,134,201,259,242,256,197
72,Beverly,12,17,19,17,15,21,21,16,14,11,21,22,46,24,31
73,Washington Heights,69,80,108,113,76,109,104,109,65,71,93,105,124,85,121
74,Mount Greenwood,,,8,,,0,5,11,5,,,5,6,8,13
75,Morgan Park,31,49,69,50,51,51,58,52,42,41,42,53,67,66,60
76,O'Hare,,,5,7,9,,7,,7,,5,6,6,7,11
77,Edgewater,47,48,81,84,52,62,85,81,54,54,67,95,102,120,158
99,Unknown,4,138,120,9,891,549,462,2,2818,3151,1640,1390,2,16,8
88,Chicago,3241,4868,7037,5350,5102,6133,6247,5025,7012,7058,6684,8089,7351,6625,7166
